; Kepler light curve for kplr005110407.
; Quarter 02
; CBVs have been removed.
; Column 1:  Time from the Kepler .fits files (MBJD)
; Column 2:  Normalized flux with CBVs removed
; Column 3:  Errors on the original SAP data
    183.8242732       2124.0999       2.3158038
    183.8651414       2124.5776       2.3160491
    183.8855755       2128.5351       2.3164849
    183.9060095       2133.0353       2.3171582
    183.9264437       2135.1371       2.3174005
    183.9468778       2129.3421       2.3166287
    183.9673118       2133.7184       2.3171961
    183.9877460       2136.1445       2.3175199
    184.0081801       2134.7049       2.3172655
    184.0286141       2138.4607       2.3179650
    184.0490483       2138.0127       2.3178263
    184.0694824       2144.3212       2.3186998
    184.0899165       2138.1788       2.3178709
    184.1103505       2140.1839       2.3183198
    184.1307847       2141.5874       2.3184147
    184.1512188       2142.0914       2.3183966
    184.1716528       2140.2602       2.3181310
    184.1920870       2140.9838       2.3181453
    184.2125211       2143.1207       2.3184688
    184.2329551       2145.5910       2.3187835
    184.2533892       2142.3257       2.3181374
    184.2738234       2143.0461       2.3183770
    184.2942574       2141.7684       2.3182335
    184.3351257       2147.0179       2.3188257
    184.3555597       2141.3658       2.3180237
    184.3759938       2136.0099       2.3173640
    184.3964280       2135.6423       2.3171849
    184.4168621       2137.5398       2.3175418
    184.4372961       2135.7805       2.3172588
    184.4577302       2132.1706       2.3169537
    184.4781644       2131.0571       2.3168631
    184.4985984       2133.1409       2.3167450
    184.5190325       2128.8315       2.3161464
    184.5394667       2127.6424       2.3161702
    184.5599007       2128.2404       2.3160012
    184.5803348       2125.5588       2.3156703
    184.6007689       2121.1001       2.3149183
    184.6212030       2118.2568       2.3145761
    184.6620712       2116.3937       2.3141828
    184.6825054       2116.3106       2.3141818
    184.7029393       2111.0336       2.3133168
    184.7233734       2108.2491       2.3130744
    184.7438076       2107.7862       2.3128564
    184.8051097       2095.7889       2.3110211
    184.8664121       2088.9153       2.3101101
    184.8868462       2089.1181       2.3102019
    184.9277144       2077.6903       2.3086741
    184.9481483       2078.5632       2.3085229
    184.9685825       2078.9597       2.3085265
    184.9890165       2078.5502       2.3085277
    185.0094506       2070.4734       2.3074574
    185.0298848       2069.7680       2.3073094
    185.0503189       2066.5663       2.3068423
    185.0911870       2063.5290       2.3064620
    185.1116210       2057.0802       2.3054559
    185.1320551       2059.5721       2.3058686
    185.1524892       2054.8592       2.3052206
    185.1729233       2054.1356       2.3049893
    185.1933574       2057.0361       2.3053212
    185.2137915       2050.6568       2.3044498
    185.2342256       2055.7637       2.3051879
    185.2546597       2045.7352       2.3037350
    185.2750937       2048.6124       2.3039708
    185.2955277       2040.0172       2.3028159
    185.3159619       2038.0467       2.3027663
    185.3363960       2041.4210       2.3030150
    185.3568300       2037.1759       2.3023868
    185.3772642       2036.7449       2.3023000
    185.3976982       2039.7159       2.3026683
    185.4181323       2034.7463       2.3019466
    185.4385663       2033.8890       2.3018072
    185.4590005       2032.7792       2.3016987
    185.5407368       2032.4902       2.3015127
    185.5611708       2029.4990       2.3011882
    185.5816049       2028.7561       2.3010976
    185.7859457       2029.3318       2.3011308
    185.8063799       2023.5936       2.3001409
    185.8268138       2026.0062       2.3003180
    185.8472479       2031.5801       2.3012011
    185.8676819       2025.6876       2.3004632
    185.8881161       2027.8100       2.3006475
    185.9085501       2032.2004       2.3013222
    185.9289842       2028.9107       2.3009520
    185.9494183       2031.8684       2.3011234
    185.9698524       2033.6768       2.3013101
    186.0107204       2038.5028       2.3021309
    186.0311546       2034.1658       2.3015511
    186.0720226       2032.6650       2.3013890
    186.0924568       2036.8274       2.3018162
    186.1128909       2034.9867       2.3015316
    186.1333249       2039.0502       2.3021121
    186.1537589       2042.8768       2.3025022
    186.1741931       2046.2755       2.3030739
    186.1946272       2044.5332       2.3026879
    186.2150612       2047.9415       2.3032238
    186.2354953       2049.5418       2.3035486
    186.2559294       2050.0570       2.3035429
    186.2763634       2054.1594       2.3040006
    186.2967974       2058.3419       2.3045235
    186.3172316       2057.8977       2.3047009
    186.3376656       2061.7678       2.3050036
    186.3580997       2058.0074       2.3045754
    186.3785338       2060.0108       2.3048005
    186.3989678       2066.8098       2.3056614
    186.4194019       2070.2177       2.3062565
    186.4398359       2072.3749       2.3065200
    186.4602700       2076.0927       2.3070700
    186.4807041       2075.6514       2.3069773
    186.5011381       2075.2457       2.3068926
    186.5215723       2084.5717       2.3080928
    186.5420063       2081.1501       2.3076646
    186.5624403       2083.4879       2.3080454
    186.5828743       2090.0677       2.3089271
